FBID	logFC_ActVsCs	logCPM_ActVsCs	LR_ActVsCs	PValue_ActVsCs	logFC_RepVsCs	logCPM_RepVsCs	LR_RepVsCs	PValue_RepVsCs
Mpc1	-1.45714550649259	5.05855554481972	23.5106725295687	1.24222770604661e-06	0.0625839743135275	5.05855554481972	0.0462411276423325	0.829738079376749
Mpcp	-0.0718703535681755	8.42217285824342	0.0646194764892556	0.799338260065432	0.0432825974280595	8.42217285824342	0.0234387139411023	0.878321723612101
Mpp6	-0.386521716606271	2.82365987468354	0.952814225439863	0.329003993477031	-0.419322321970627	2.82365987468354	1.11469785026514	0.29106301527685
Mppe	-0.743680720278192	3.17722771977821	4.86235785084453	0.0274487987244601	-0.252767004034961	3.17722771977821	0.576821226340883	0.447561003042323
Mps1	-1.15068194107339	4.62146208719845	12.7066032160044	0.000364366671647722	-0.57193404436197	4.62146208719845	3.22660221477024	0.0724508653104341
mr	-0.990731439707975	4.96165604801088	13.5804621240013	0.000228551962203536	-0.611023858148333	4.96165604801088	5.25395910083477	0.0218968949187157
mre11	-0.450335681582816	5.19764335168243	1.73153446488172	0.188215050793813	-0.87452386583927	5.19764335168243	6.42286254541902	0.0112660421146573
MRG15	-0.840558313393024	4.32398729375845	8.8982723151926	0.00285440602535652	-0.332007469795202	4.32398729375845	1.42081282514411	0.233269662383771
MrgBP	-1.29877371497052	5.01763176786049	16.5362272512401	4.77293932587258e-05	-0.685272818637321	5.01763176786049	4.74370450300971	0.0294056863323322
mri	-0.83530931887185	5.49134025252125	9.79176206121093	0.00175295405521869	-0.46165946157726	5.49134025252125	3.03050963911897	0.0817123467710018
mrj	-0.382907516192665	7.07485540966527	1.38159009108448	0.239830482602017	-0.391468272844483	7.07485540966527	1.44335253689678	0.229597596670502
mrn	-0.948005258421004	3.01338590515792	6.08432880318029	0.0136386172428025	-0.629360829409211	3.01338590515792	2.729212643303	0.0985278478440027
mRNA-cap	-0.0610288079427675	5.73100803813744	0.0494174313795099	0.824080104574388	0.226616916677631	5.73100803813744	0.682365724783357	0.408773283767733
MRP	0.883197560642106	10.1529073011591	5.70646597159293	0.016902533399364	0.0568788662736299	10.1529073011591	0.0240248027794223	0.876821818855864
Mrp4	1.46762853613314	9.24592178966816	26.0774228936087	3.27996981487733e-07	0.275900778085142	9.24592178966816	0.957425421765464	0.327836394438002
mRpL1	-0.924082085327339	3.85783072419947	9.36217327419063	0.00221509345221846	-0.431341088538073	3.85783072419947	2.09405422643169	0.147873193192788
mRpL10	-1.32107770807194	3.83805159997581	17.2774504556945	3.22997246740367e-05	-0.353554987831423	3.83805159997581	1.31307120591457	0.251839348800164
mRpL11	-0.392745798777115	2.63841311652808	0.909966352307073	0.340123346597927	-0.182533293879504	2.63841311652808	0.198033139007526	0.656313145432188
mRpL12	-1.26421756772003	5.22494418752319	22.8423360125619	1.75849132167163e-06	-0.173140350971018	5.22494418752319	0.449611541748757	0.502519484723805
mRpL14	-0.677429088718059	4.1248791523433	4.39265539673501	0.0360940561266525	-0.385091878324318	4.1248791523433	1.4349443099683	0.230959216335717
mRpL15	-0.698413232485006	4.15899253466324	5.44785295699462	0.0195923911637582	-0.421733537867833	4.15899253466324	2.00820965645929	0.156449850900609
mRpL16	-0.42244388127911	6.15624493256379	2.44609603143381	0.117817566059344	-0.114857315667101	6.15624493256379	0.181758125394789	0.669866668772871
mRpL17	-0.801999055357092	3.74199811325857	6.15842954839028	0.0130787277125744	-0.608900211954294	3.74199811325857	3.57839264358275	0.0585357643745588
mRpL18	-1.13411301199532	4.22507333601023	13.1889064386949	0.000281611178627509	-0.352535374189909	4.22507333601023	1.32547879862647	0.249611139646576
mRpL19	-0.454721625262164	4.58877920559649	2.63388226425576	0.104605655367829	-0.131120715670995	4.58877920559649	0.221019338636794	0.638264328723453
mRpL2	-0.84432394600568	3.34141023632195	6.45385788263128	0.0110711686753859	-0.298709126665249	3.34141023632195	0.832553494003248	0.361535197368186
mRpL20	-0.752849123002081	1.56176799668509	2.13045716738337	0.14439768355062	-0.633765231422114	1.56176799668509	1.51422458088473	0.218495582810325
mRpL21	-0.807917602789886	3.37081039846606	4.33868927368212	0.0372555937965801	-0.454446168537997	3.37081039846606	1.39501391810375	0.237560190458814
mRpL22	-0.625578371573097	5.38201642099685	5.79594997944812	0.016063133100896	-0.0909669811396083	5.38201642099685	0.124361992423548	0.724350880118301
mRpL23	-0.586351361043514	3.37134358386872	2.83466840852499	0.0922498415436435	-0.668734617897869	3.37134358386872	3.65504669934355	0.0558995880243096
mRpL24	-1.2009816852127	3.97160846257998	13.8463558499417	0.000198381077703231	-0.264042743613998	3.97160846257998	0.704038245470228	0.401430103032675
mRpL27	-1.96107567458281	2.96030482787802	28.1687054449849	1.11187871453693e-07	-0.312888449106706	2.96030482787802	0.829175230574847	0.362511128131876
mRpL28	-1.03818588582567	4.93660858793412	13.01095546343	0.000309673894066487	-0.172148087780895	4.93660858793412	0.370227113709859	0.542880497739887
mRpL3	0.17972363929092	5.14561950008554	0.394129464204497	0.530136727617418	0.129924926504201	5.14561950008554	0.205564833090307	0.650266077288862
mRpL30	-1.37843377393806	4.58175928086626	21.7631874363141	3.08462259091755e-06	-0.963527535280375	4.58175928086626	10.900167556138	0.000961555618127394
mRpL32	-0.552506342517168	3.30635855495848	2.00065726314485	0.157231015143761	-0.40386307916986	3.30635855495848	1.07365247615309	0.300121892936354
mRpL33	-0.902703713291077	3.39862921946325	7.49985998757688	0.00617037900862509	-0.421695807705843	3.39862921946325	1.68096345090414	0.194796481738406
mRpL34	-0.974111001366591	1.76958678733105	3.82057572299154	0.0506268397181805	-0.564448909075653	1.76958678733105	1.31958116582838	0.250667232150008
mRpL35	-1.33229845693095	4.18865509567061	20.8994660665868	4.84029494164808e-06	-0.499543117703795	4.18865509567061	3.0913944024234	0.0787073345838635
mRpL36	-1.91191846854937	2.65932658519645	23.6095473804808	1.18000590228382e-06	-1.1522613116169	2.65932658519645	9.2217083794515	0.002391622792999
mRpL37	-0.973903968486019	3.88303535530265	10.1415815547913	0.00144961736610517	-0.436019718985334	3.88303535530265	2.09223506650134	0.148049334324073
mRpL38	-0.750418723266106	3.3087952107893	5.04633817663016	0.0246780391575518	-0.571953354015117	3.3087952107893	2.95304686739385	0.0857158150886067
mRpL39	-0.425346584711086	4.37929334813042	2.29972386301282	0.129397001339164	-0.47353836136756	4.37929334813042	2.83576440444579	0.0921869247636225
mRpL4	-1.03675178126472	3.49831531184857	11.2727169529882	0.000786545268863536	-0.593996557401919	3.49831531184857	3.80351636132714	0.0511450675963578
mRpL40	-0.629429999599774	3.69861821728199	4.12575480801697	0.0422351754691948	-0.0612335957397358	3.69861821728199	0.0400462889734876	0.841390103512713
mRpL41	-0.42857678458562	3.08971473475638	1.38326760491686	0.239545338611741	-0.192317163156297	3.08971473475638	0.280914450665119	0.59610247890933
mRpL42	-0.97594143842204	4.11424398090683	10.7592440530762	0.00103759755285473	-0.400271174477987	4.11424398090683	1.8637543692543	0.172192116867447
mRpL43	-1.09131387430799	3.55491036620082	11.4573546523688	0.000712115990750714	-0.226066568955422	3.55491036620082	0.517488648995933	0.471914923253247
mRpL44	-0.870608208527615	4.05374350909237	8.37636807058103	0.003801313040006	-0.55075700570786	4.05374350909237	3.40299486126526	0.0650781623132878
